4 3.882974e-01
5 4.097866e-01
6 3.814798e-01
7 4.175531e-01
8 4.300417e-01
9 4.186485e-01
10 4.374922e-01
11 4.384626e-01
12 4.384626e-01
13 4.409419e-01
14 4.384626e-01
15 4.290504e-01
16 4.384626e-01
17 4.269275e-01
18 4.496069e-01
19 4.826611e-01
20 4.507668e-01
21 4.503673e-01
22 4.393922e-01
23 4.370394e-01
24 4.507668e-01
25 4.777248e-01
26 4.621508e-01
27 4.781254e-01
28 4.566955e-01
29 4.718449e-01
30 4.628664e-01
31 4.629514e-01
32 4.613904e-01
33 4.761288e-01
34 4.654947e-01
35 4.761550e-01
36 4.605140e-01
37 4.878194e-01
38 4.467999e-01
39 4.462299e-01
40 4.603000e-01
41 4.586379e-01
42 4.783198e-01
43 4.700646e-01
44 4.758374e-01
45 4.566607e-01
